user_id,age,location_country,count
46389,55.0,usa,14
46767,24.0,germany,2
47971,40.0,canada,46
48268,18.0,austria,20
48911,57.0,usa,33
49168,57.0,usa,3
49994,40.0,usa,3
52584,45.0,usa,130
52994,,usa,13
54005,59.0,usa,9
54884,33.0,usa,13
55027,44.0,usa,16
55492,43.0,usa,86
57108,38.0,usa,18
57423,,usa,3
57632,,usa,5
59038,28.0,usa,16
59390,,usa,16
60130,41.0,usa,5
60569,41.0,usa,22
60683,47.0,usa,4
62667,53.0,usa,5
62881,39.0,usa,11
64535,43.0,usa,10
64679,,usa,13
66387,52.0,usa,14
67487,33.0,usa,7
68256,28.0,usa,15
68537,70.0,usa,8
69232,55.0,usa,27
70205,,usa,9
70666,18.0,usa,88
72523,,usa,25
72975,21.0,usa,7
74709,21.0,usa,3
75691,17.0,usa,4
75819,,usa,87
76352,58.0,usa,47
76368,,canada,2
76942,25.0,usa,21
78165,,italy,3
78754,,usa,1
78834,28.0,usa,110
78973,29.0,portugal,375
79186,37.0,usa,14
79740,24.0,usa,33
80810,33.0,usa,58
81088,18.0,united kingdom,15
81298,20.0,usa,29
82114,,usa,1
82893,40.0,usa,48
83034,,usa,1
84024,37.0,usa,43
84611,,usa,1
85534,49.0,usa,7
86303,31.0,usa,1
86969,59.0,usa,17
87257,,usa,7
87929,25.0,usa,19
88006,27.0,usa,4
90322,,usa,5
91633,21.0,usa,8
91832,,usa,25
93055,,usa,2
93363,30.0,usa,90
93643,,usa,3
93772,,usa,3
93800,52.0,usa,7
94139,,usa,1
94396,62.0,usa,9
97721,46.0,usa,19
98012,48.0,usa,1
98468,33.0,usa,3
98723,29.0,usa,25
98923,,usa,8
100009,49.0,canada,22
100393,,usa,10
101209,44.0,usa,160
102647,14.0,usa,118
102967,54.0,usa,90
103315,32.0,usa,9
103416,33.0,usa,2
105124,,empty,5
105937,27.0,usa,33
105979,26.0,usa,103
106230,,usa,2
107201,38.0,usa,1
107244,50.0,usa,32
107784,,usa,389
108143,17.0,usa,8
108247,,usa,2
110127,,usa,2
110440,29.0,usa,31
110558,,usa,7
110973,43.0,usa,223
112001,43.0,usa,218
112093,35.0,usa,47
112280,50.0,usa,3
113328,,usa,4
114544,35.0,usa,69
115003,43.0,usa,154
115120,29.0,usa,20
116428,47.0,canada,7
117594,26.0,usa,17
118659,37.0,usa,7
120396,46.0,usa,48
120771,49.0,usa,6
122251,30.0,usa,1
122440,29.0,canada,27
123137,,usa,4
123430,,usa,25
123790,25.0,usa,28
123981,46.0,usa,98
124259,,usa,14
124363,36.0,usa,35
124487,,usa,80
125039,27.0,usa,68
125519,40.0,usa,94
126492,31.0,usa,110
127200,,usa,92
128185,39.0,usa,2
128208,34.0,usa,25
129084,39.0,usa,53
130784,,usa,8
131046,26.0,usa,38
131681,48.0,usa,1
131837,,usa,23
133706,30.0,australia,20
133738,28.0,usa,10
134264,,usa,14
134797,,usa,57
134863,,usa,10
135149,,usa,387
135831,,usa,19
136096,47.0,usa,3
136396,34.0,usa,7
137589,35.0,usa,74
140824,53.0,germany,1
141444,,usa,86
143134,27.0,usa,18
143253,27.0,usa,115
143939,,usa,8
144062,16.0,usa,7
144255,,germany,37
144478,39.0,usa,18
144531,37.0,usa,66
145619,36.0,usa,34
146113,,usa,78
146279,42.0,usa,3
146816,,usa,1
147965,,usa,57
149120,,usa,24
150896,30.0,usa,44
151004,41.0,usa,1
151063,70.0,usa,7
152354,,usa,18
152696,,usa,13
153513,31.0,usa,23
153718,27.0,usa,56
154730,42.0,usa,17
155495,26.0,usa,20
156300,49.0,usa,78
159440,27.0,france,2
159506,28.0,usa,87
160735,39.0,usa,19
160819,43.0,usa,57
161870,,usa,39
163194,57.0,empty,5
163693,37.0,usa,2
164323,31.0,canada,84
165618,,germany,2
165842,,usa,1
165884,,usa,18
166391,60.0,usa,15
167038,,usa,9
167800,57.0,usa,61
168132,37.0,usa,1
169403,43.0,usa,7
170518,61.0,usa,5
170580,,usa,1
171078,43.0,canada,9
172539,,usa,13
172742,44.0,usa,154
173415,31.0,usa,145
173684,15.0,usa,42
174642,,usa,3
175117,,usa,15
176477,46.0,usa,4
176790,43.0,usa,4
176894,32.0,usa,7
178130,45.0,usa,25
179068,30.0,usa,7
181519,,usa,1
182459,28.0,usa,21
182746,44.0,usa,13
185384,,usa,96
185722,24.0,usa,31
186570,28.0,usa,36
187266,66.0,usa,4
187533,68.0,costarica,1
189655,,usa,7
190741,52.0,usa,36
192353,26.0,usa,12
192399,,usa,3
193529,51.0,usa,39
193898,,usa,83
195347,,usa,2
195469,39.0,usa,23
195694,29.0,usa,45
197364,30.0,usa,60
198046,51.0,usa,24
198412,17.0,usa,2
198483,,usa,7
198711,62.0,usa,12
199092,50.0,netherlands,36
199640,,usa,4
200234,53.0,canada,1
200402,35.0,usa,9
201548,29.0,germany,27
202619,28.0,usa,1
203649,41.0,usa,10
204504,41.0,usa,3
205963,56.0,usa,8
206423,,usa,19
207259,38.0,usa,35
207291,,australia,9
207782,28.0,usa,103
207825,52.0,usa,54
208147,41.0,usa,25
208607,,usa,2
210276,67.0,empty,2
210717,42.0,usa,21
210838,66.0,usa,4
211321,19.0,usa,1
213220,,usa,2
213760,32.0,usa,25
214786,,usa,103
215256,34.0,usa,6
215949,,usa,2
216670,,usa,13
216683,,usa,179
217375,35.0,usa,33
217516,56.0,usa,14
217986,35.0,usa,34
218121,,usa,68
221445,,usa,58
222217,25.0,germany,10
223331,,usa,1
224435,24.0,usa,12
224764,,usa,136
225717,33.0,poland,1
225810,56.0,usa,40
225826,23.0,usa,1
225989,27.0,usa,13
226638,50.0,usa,5
227392,30.0,usa,2
229011,,usa,146
231237,,usa,65
232131,,usa,131
232271,46.0,usa,23
232945,28.0,usa,96
233731,44.0,canada,8
234623,,usa,36
235059,24.0,usa,7
235842,41.0,usa,16
235935,43.0,usa,80
236172,34.0,usa,40
240024,40.0,usa,1
240144,34.0,usa,186
240567,33.0,usa,115
240951,41.0,usa,3
241306,32.0,usa,7
241548,44.0,usa,46
241666,35.0,usa,98
241980,35.0,usa,132
242843,43.0,usa,5
242891,84.0,usa,6
243930,43.0,france,51
244349,40.0,usa,39
244627,32.0,usa,122
244761,,usa,15
245616,28.0,usa,12
245963,,usa,38
246333,31.0,usa,5
246655,,usa,40
250101,61.0,usa,15
250184,,usa,22
251122,,usa,11
251377,,usa,4
251613,34.0,usa,46
253106,45.0,usa,9
254971,53.0,usa,36
255719,30.0,usa,4
256407,58.0,usa,35
256925,32.0,usa,7
258534,32.0,usa,146
258884,,usa,41
259078,49.0,usa,13
259223,82.0,usa,4
259543,,usa,3
259778,,usa,3
259846,,usa,1
260897,25.0,usa,53
261378,,usa,1
261829,32.0,usa,174
262846,,usa,3
263163,26.0,usa,75
263644,,usa,4
263877,44.0,canada,32
265115,,usa,159
265276,39.0,usa,9
265313,33.0,usa,95
266268,,usa,24
267549,34.0,usa,4
268330,23.0,usa,6
269566,9.0,usa,163
269614,46.0,usa,1
271284,50.0,usa,20
271558,35.0,usa,28
273190,71.0,usa,34
273979,20.0,usa,40
274167,52.0,canada,1
274308,33.0,usa,35
274823,,usa,8
276641,25.0,portugal,28
277478,31.0,netherlands,26
3373,30.0,usa,27
4781,47.0,usa,1
5555,,france,6
6026,,usa,1
6242,,canada,100
7210,,canada,22
8362,28.0,usa,25
8570,23.0,usa,6
11104,,usa,2
12863,29.0,united kingdom,15
14449,72.0,canada,22
16231,32.0,canada,5
17003,,usa,54
20265,29.0,usa,14
21870,,usa,5
22625,54.0,usa,82
27624,54.0,united kingdom,1
28056,36.0,usa,8
32793,22.0,canada,4
34588,,usa,42
34864,39.0,france,5
36715,,usa,51
36907,39.0,canada,102
40330,,usa,19
40612,25.0,usa,11
43619,26.0,usa,26
49980,27.0,usa,32
52832,,usa,4
57105,32.0,usa,17
58363,81.0,usa,52
61619,,usa,13
63956,28.0,usa,92
64763,43.0,usa,12
68943,,usa,26
69378,46.0,usa,59
75723,,usa,3
77181,33.0,usa,21
80683,27.0,usa,36
80837,34.0,usa,6
82407,,usa,47
85653,53.0,usa,2
85656,41.0,usa,91
86219,26.0,germany,3
86243,,newzealand,66
86835,,usa,37
87746,52.0,usa,3
89856,31.0,usa,2
91931,40.0,canada,22
92810,60.0,usa,113
93698,70.0,canada,17
95392,25.0,canada,1
95932,36.0,usa,116
99946,,usa,13
100459,38.0,usa,99
101043,,usa,1
101559,,usa,5
101851,29.0,usa,452
102327,,usa,2
102359,,usa,138
102430,37.0,usa,6
104796,38.0,usa,6
105214,34.0,usa,42
105517,28.0,canada,165
107258,,usa,25
108005,29.0,usa,32
112026,17.0,usa,25
114698,81.0,usa,2
116210,46.0,netherlands,7
117041,,usa,4
118135,29.0,portugal,22
119858,53.0,usa,50
120807,43.0,usa,8
124298,25.0,usa,14
124874,32.0,usa,40
125774,36.0,iran,156
127429,23.0,usa,1
129373,54.0,usa,14
129716,30.0,usa,179
132230,58.0,usa,1
132930,29.0,united kingdom,41
134869,,usa,1
136205,39.0,usa,54
143968,39.0,usa,39
146932,30.0,usa,21
148744,67.0,usa,92
150968,47.0,usa,66
153042,35.0,usa,28
153577,,usa,1
153662,44.0,usa,1496
156150,36.0,usa,210
157273,37.0,usa,105
157799,42.0,netherlands,29
159732,47.0,usa,36
160032,,germany,48
165319,28.0,usa,153
167812,38.0,usa,32
171295,27.0,usa,43
173018,,newzealand,11
174326,38.0,canada,41
174633,31.0,usa,12
175003,33.0,usa,23
176838,27.0,finland,10
178667,34.0,usa,59
184299,31.0,usa,119
187145,65.0,usa,152
196457,,usa,11
202182,24.0,usa,8
202547,21.0,usa,2
204864,47.0,usa,401
204909,,usa,21
207965,46.0,usa,19
212847,,usa,5
212849,59.0,usa,17
215388,,usa,10
218421,32.0,canada,3
221232,21.0,usa,10
223402,36.0,usa,6
224138,,usa,77
224236,,usa,8
227025,33.0,canada,15
227275,47.0,canada,4
227884,25.0,usa,19
230249,,usa,7
231210,44.0,usa,159
232103,30.0,usa,7
234205,15.0,usa,7
235011,,usa,8
237436,,usa,1
238120,25.0,usa,72
240353,45.0,usa,2
240401,64.0,usa,72
241214,,usa,6
243879,32.0,usa,23
244171,51.0,usa,51
244643,,usa,1
250764,,usa,12
250892,21.0,usa,6
251150,,usa,3
252627,,usa,5
253855,29.0,canada,9
254160,33.0,usa,17
258109,37.0,germany,11
258747,45.0,usa,2
264543,,usa,40
264657,23.0,usa,55
266283,62.0,usa,30
267293,,usa,1
269688,,usa,4
269799,,usa,19
271135,,usa,2
271144,25.0,usa,23
274056,24.0,usa,17
277711,34.0,germany,8
278418,,usa,83
6910,,usa,1
7913,43.0,usa,11
58516,30.0,usa,8
59971,27.0,usa,27
60244,47.0,usa,393
79089,29.0,usa,11
98758,25.0,canada,111
113817,25.0,australia,19
126604,27.0,usa,67
146348,,usa,130
172760,29.0,usa,63
187763,33.0,usa,66
196108,34.0,usa,47
206202,16.0,usa,46
271622,,aruba,49
3675,24.0,spain,16
6366,20.0,spain,12
13872,17.0,spain,4
16654,35.0,spain,19
16673,30.0,spain,4
17183,23.0,spain,30
18384,37.0,spain,32
55217,26.0,spain,6
80908,30.0,spain,35
94985,39.0,spain,67
105476,22.0,spain,19
124888,25.0,spain,9
126644,30.0,spain,1
131126,31.0,spain,57
134556,28.0,spain,29
136633,32.0,spain,2
137437,26.0,spain,12
141518,27.0,spain,2
152107,42.0,spain,1
156502,33.0,spain,6
157118,,spain,11
158627,32.0,spain,14
164533,46.0,spain,110
182987,,spain,12
187810,45.0,spain,6
189750,29.0,spain,6
214920,35.0,spain,22
217740,37.0,spain,179
229501,20.0,spain,9
240440,30.0,spain,10
241268,34.0,spain,6
248325,33.0,spain,5
254982,28.0,spain,1
267172,27.0,spain,4
12,,usa,1
67997,53.0,usa,1
14,,usa,2
164027,,canada,19
174791,38.0,usa,55
259901,,canada,67
242,37.0,germany,17
487,,usa,5
626,41.0,austria,2
899,23.0,germany,5
901,21.0,united kingdom,9
1025,33.0,united kingdom,26
1140,19.0,usa,1
1343,33.0,united kingdom,2
1435,36.0,usa,40
1486,75.0,australia,1
1733,30.0,usa,71
1863,43.0,germany,2
1903,36.0,taiwan,40
2411,37.0,usa,4
2766,42.0,usa,72
3032,40.0,australia,1
3556,68.0,usa,17
4092,27.0,usa,9
4131,51.0,united kingdom,10
4285,50.0,usa,2
4514,23.0,portugal,1
4571,23.0,australia,4
4784,21.0,usa,1
5126,53.0,usa,2
5471,60.0,spain,2
5506,19.0,usa,3
5543,29.0,usa,26
5581,22.0,australia,1
5604,48.0,germany,2
5815,,usa,7
5916,31.0,australia,1
6120,36.0,usa,1
6251,32.0,usa,171
6431,30.0,usa,14
6507,26.0,spain,3
6543,34.0,usa,143
7105,,united kingdom,13
7125,28.0,usa,56
7158,30.0,usa,46
7286,28.0,usa,84
7426,,usa,8
7864,17.0,malaysia,23
8361,23.0,australia,1
8529,,spain,18
8660,25.0,austria,7
8674,29.0,singapore,4
8681,34.0,usa,111
9080,20.0,brazil,1
9224,,united kingdom,6
9381,,united kingdom,12
9414,37.0,united kingdom,3
9571,27.0,germany,15
9908,36.0,usa,29
10118,44.0,usa,22
10494,25.0,usa,1
10532,29.0,united kingdom,12
10570,,singapore,7
10590,22.0,malaysia,11
10649,27.0,argentina,1
10819,27.0,usa,73
11120,58.0,finland,15
11245,,canada,24
11554,35.0,usa,2
11690,30.0,germany,4
11724,42.0,usa,32
11768,14.0,india,1
11832,,usa,15
11944,21.0,portugal,11
11993,37.0,usa,94
12189,24.0,spain,9
12272,18.0,romania,17
12331,31.0,greece,6
12512,34.0,netherlands,1
12835,38.0,germany,62
13093,29.0,spain,15
13221,45.0,canada,5
13479,31.0,netherlands,2
13600,,greece,18
13664,,usa,14
14049,,canada,10
14079,41.0,spain,37
14336,28.0,usa,7
14387,35.0,united kingdom,21
14461,31.0,germany,21
15049,28.0,usa,43
15418,23.0,spain,88
15459,,usa,3
15523,22.0,malaysia,1
15957,27.0,australia,15
16086,39.0,united kingdom,3
16130,34.0,usa,3
16151,39.0,australia,2
16155,47.0,malaysia,16
16263,,usa,24
16319,43.0,australia,4
16504,28.0,malaysia,15
16634,42.0,usa,260
16943,,australia,12
16999,48.0,usa,11
17282,38.0,usa,20
17507,37.0,ireland,13
17842,21.0,usa,1
17890,17.0,usa,1
17950,32.0,malaysia,134
18097,27.0,germany,3
18199,56.0,usa,1
18323,41.0,usa,19
18527,45.0,iran,2
19085,60.0,usa,87
19974,30.0,united kingdom,9
20060,48.0,usa,54
20147,,usa,8
20201,31.0,usa,45
20401,25.0,austria,12
20911,50.0,usa,2
20983,45.0,usa,3
21031,36.0,usa,28
21252,28.0,usa,31
21268,56.0,usa,2
21364,32.0,usa,38
21368,30.0,united kingdom,2
21404,,canada,25
21484,21.0,usa,19
21576,31.0,usa,64
21659,31.0,usa,41
21660,52.0,usa,4
21860,,usa,6
22012,,australia,5
22082,26.0,brazil,2
22121,33.0,united kingdom,4
22338,33.0,usa,6
22343,21.0,portugal,2
22362,31.0,usa,5
22648,35.0,france,4
22710,33.0,germany,5
22981,23.0,france,10
23021,17.0,usa,1
23296,71.0,australia,1
23571,41.0,usa,68
23680,,usa,23
23902,,united kingdom,956
24188,,usa,8
24194,20.0,usa,61
24261,55.0,usa,1
24921,29.0,usa,26
25395,65.0,usa,14
25419,16.0,australia,1
25533,38.0,united kingdom,19
25583,,usa,13
25636,48.0,united kingdom,1
25695,32.0,usa,5
25890,,usa,16
25893,23.0,germany,5
26371,65.0,canada,12
26443,27.0,france,16
26509,,usa,3
26525,56.0,usa,1
26583,,canada,97
26706,28.0,usa,3
26806,15.0,australia,1
26813,28.0,italy,10
26979,,canada,2
27140,49.0,usa,60
27462,,usa,15
27568,60.0,united kingdom,1
27650,27.0,australia,5
27740,57.0,usa,43
27812,33.0,usa,29
27813,34.0,usa,29
28091,,usa,2
28204,61.0,canada,50
28262,39.0,usa,1
28360,15.0,usa,22
28492,31.0,united kingdom,20
28591,33.0,usa,136
28632,37.0,usa,2
28648,17.0,usa,1
28663,,spain,3
28735,58.0,germany,23
28764,22.0,newzealand,1
28800,69.0,spain,1
28804,50.0,canada,3
28938,38.0,usa,55
29259,39.0,usa,93
29694,40.0,australia,4
29702,52.0,usa,8
29855,53.0,usa,28
30144,,usa,11
30261,27.0,usa,14
30273,25.0,usa,26
30341,,usa,2
30445,23.0,malaysia,30
30509,51.0,united kingdom,1
30527,41.0,usa,2
30712,,united kingdom,25
30727,26.0,germany,13
30806,24.0,canada,19
30898,43.0,usa,27
30972,47.0,usa,37
31466,26.0,canada,11
31652,,usa,9
31826,54.0,usa,302
32329,30.0,usa,8
32440,,newzealand,83
32467,17.0,usa,7
32483,18.0,spain,4
32627,49.0,usa,59
32721,36.0,france,73
32773,28.0,usa,106
32817,,australia,4
32963,56.0,usa,2
33487,26.0,australia,4
33580,27.0,usa,43
33816,33.0,canada,17
33875,28.0,canada,1
33888,48.0,united kingdom,30
33890,18.0,usa,1
33943,25.0,france,21
34148,41.0,australia,1
34215,28.0,australia,12
34244,47.0,united kingdom,1
34300,35.0,canada,50
34823,21.0,germany,3
34994,54.0,belgium,1
35055,23.0,canada,2
35321,34.0,usa,2
35513,42.0,austria,2
35910,16.0,usa,8
36003,26.0,malaysia,32
36041,46.0,usa,1
36417,53.0,canada,1
36656,28.0,philippines,1
36811,51.0,usa,6
37074,53.0,usa,2
37293,41.0,canada,37
37310,33.0,usa,17
37538,,malaysia,68
37546,24.0,spain,3
37550,19.0,usa,2
37567,36.0,united kingdom,40
37615,24.0,usa,1
37691,26.0,finland,5
37712,23.0,usa,144
37950,,canada,200
37974,,usa,28
37989,57.0,usa,12
38023,30.0,usa,168
38219,49.0,spain,2
38229,23.0,usa,2
38281,33.0,spain,87
38464,33.0,united kingdom,17
38556,,canada,52
38762,29.0,usa,6
38802,23.0,finland,8
39281,45.0,usa,125
39396,20.0,germany,44
39602,50.0,australia,2
39773,49.0,usa,59
40012,44.0,newzealand,18
40110,,usa,9
40299,,usa,8
40559,,usa,13
40919,60.0,usa,2
40943,40.0,usa,106
40958,26.0,canada,8
41057,51.0,canada,4
41135,37.0,germany,1
41278,52.0,usa,1
41425,31.0,newzealand,5
41586,73.0,usa,5
41596,40.0,mexico,24
41667,,usa,6
41701,25.0,france,13
41757,58.0,canada,31
41841,,canada,61
42032,43.0,australia,1
42123,35.0,usa,3
42128,41.0,usa,2
42419,33.0,usa,17
42434,48.0,usa,1
42651,,usa,8
42679,50.0,australia,1
42724,37.0,usa,3
42914,26.0,usa,42
42962,,canada,3
43246,36.0,canada,187
43418,,canada,6
43687,27.0,usa,27
43806,31.0,usa,12
43842,,usa,56
43909,27.0,singapore,8
43962,23.0,australia,25
44296,26.0,australia,30
44297,22.0,newzealand,25
44634,37.0,united kingdom,1
44728,31.0,usa,20
44768,33.0,usa,1
44845,29.0,usa,39
44925,33.0,united kingdom,12
45002,20.0,finland,4
46006,51.0,australia,3
46050,39.0,canada,3
46184,,empty,3
46269,26.0,brazil,20
47037,36.0,germany,1
47128,33.0,usa,12
47448,26.0,spain,1
47613,18.0,united kingdom,1
47635,,malaysia,9
48025,43.0,usa,114
48046,,usa,34
48494,51.0,usa,114
48539,23.0,usa,1
48595,23.0,usa,8
48630,34.0,usa,7
49109,38.0,usa,39
49204,14.0,usa,1
49335,,usa,1
49460,37.0,usa,79
49582,29.0,france,7
49634,53.0,southafrica,1
50092,48.0,usa,5
50165,41.0,usa,5
50201,33.0,united kingdom,1
50409,21.0,australia,1
50521,42.0,usa,3
50858,19.0,usa,4
51375,63.0,usa,2
51803,34.0,canada,23
51856,59.0,usa,14
51944,51.0,usa,4
52002,,usa,11
52060,38.0,canada,2
52425,,usa,7
52531,35.0,united kingdom,2
52635,23.0,usa,4
52807,38.0,canada,15
52847,34.0,usa,2
52917,42.0,usa,158
53042,59.0,usa,12
53140,,usa,8
53174,29.0,usa,76
53189,,usa,2
53281,,canada,3
53418,28.0,usa,18
53614,30.0,portugal,36
53628,22.0,france,32
53688,28.0,france,1
54118,47.0,canada,1
54148,75.0,australia,1
54206,24.0,usa,28
54453,,usa,19
54564,34.0,usa,2
54648,,usa,5
54850,44.0,australia,3
54911,17.0,usa,4
55178,25.0,usa,40
55187,48.0,usa,128
55734,37.0,canada,29
55892,45.0,usa,75
55927,17.0,usa,54
56271,22.0,united kingdom,126
56272,19.0,canada,15
56276,19.0,spain,8
56360,35.0,austria,24
56391,40.0,usa,21
56399,63.0,united kingdom,673
56856,23.0,usa,76
56959,52.0,usa,307
57006,30.0,usa,21
57039,,switzerland,2
57148,24.0,united kingdom,6
57412,25.0,portugal,5
57449,29.0,germany,32
57515,44.0,portugal,1
57868,26.0,germany,1
57954,38.0,usa,2
58077,19.0,usa,1
58255,14.0,usa,16
58297,13.0,newzealand,2
58456,33.0,united kingdom,3
58756,47.0,usa,1
58855,38.0,usa,19
59150,37.0,canada,23
59269,,usa,38
59559,25.0,usa,4
59616,,australia,2
59756,25.0,yugoslavia,1
59912,27.0,usa,20
59994,21.0,canada,1
60050,40.0,usa,16
60067,44.0,usa,3
60277,,usa,1
60319,,usa,54
60797,24.0,united kingdom,13
60809,33.0,france,12
61028,50.0,usa,51
61668,41.0,usa,8
61798,,usa,25
61982,20.0,singapore,1
62410,27.0,usa,6
62464,26.0,usa,29
62670,26.0,portugal,1
62862,47.0,usa,49
62891,27.0,usa,57
62954,,usa,5
63074,44.0,turkey,2
63293,37.0,usa,2
63506,,canada,8
63665,24.0,switzerland,11
63714,29.0,united kingdom,364
63765,46.0,united kingdom,5
63812,23.0,spain,4
63953,26.0,australia,2
63970,,usa,2
64373,21.0,france,6
64436,36.0,usa,31
64448,23.0,netherlands,2
64629,57.0,usa,10
64775,45.0,usa,3
64946,34.0,usa,30
65145,54.0,usa,14
65258,42.0,usa,101
65323,31.0,united kingdom,2
65370,35.0,usa,6
65467,45.0,usa,3
65996,39.0,germany,3
66088,46.0,usa,5
66096,53.0,usa,1
66428,16.0,philippines,4
66443,29.0,canada,15
66485,,germany,28
67089,63.0,usa,2
67193,17.0,usa,1
67371,,newzealand,3
67415,29.0,usa,16
67515,45.0,usa,15
67598,22.0,germany,1
67628,23.0,portugal,3
67840,50.0,usa,99
67994,57.0,australia,1
68014,18.0,united kingdom,4
68081,,usa,6
68426,25.0,canada,1
68555,,usa,177
69042,55.0,canada,23
69089,28.0,australia,16
69102,22.0,usa,1
69405,36.0,netherlands,21
69493,42.0,japan,3
69499,31.0,australia,1
69721,32.0,usa,31
69971,43.0,usa,69
70052,30.0,canada,39
70153,34.0,canada,2
70222,56.0,canada,9
70238,26.0,germany,9
70314,23.0,canada,2
70415,57.0,usa,138
70450,25.0,canada,2
70550,37.0,australia,3
70571,56.0,usa,2
70649,31.0,usa,28
70731,38.0,australia,3
71162,40.0,canada,8
71234,30.0,usa,29
71470,62.0,canada,26
71662,22.0,usa,6
71711,22.0,usa,1
71853,23.0,usa,31
71974,30.0,spain,1
72112,,canada,1
72124,22.0,spain,1
72214,40.0,canada,49
72282,50.0,canada,4
72347,32.0,switzerland,6
72424,58.0,australia,1
72687,70.0,australia,4
72992,44.0,france,38
73196,35.0,usa,18
73224,42.0,usa,11
73260,32.0,usa,1
73394,33.0,usa,22
73490,,usa,2
73681,27.0,portugal,102
73691,20.0,usa,4
73782,32.0,usa,1
73923,29.0,usa,40
73940,56.0,usa,1
74189,21.0,usa,3
74903,25.0,usa,1
74910,22.0,canada,1
75081,29.0,usa,55
75286,,usa,3
75339,,germany,7
75405,49.0,usa,4
75436,,japan,3
75491,26.0,usa,6
75599,25.0,germany,3
75842,42.0,usa,6
76151,49.0,usa,151
76168,,usa,30
76223,25.0,portugal,80
76301,19.0,philippines,1
76350,20.0,united kingdom,11
76413,29.0,usa,1
76901,16.0,canada,1
76968,21.0,germany,4
77332,58.0,usa,7
77480,51.0,usa,66
77809,29.0,usa,69
78553,40.0,usa,179
78637,16.0,usa,1
78755,53.0,germany,30
78777,,usa,6
78797,53.0,newzealand,5
78844,68.0,usa,1
78941,39.0,austria,5
79366,,usa,10
79821,39.0,united kingdom,2
79942,26.0,australia,22
80075,,germany,15
80266,42.0,germany,6
80555,20.0,united kingdom,59
80820,,usa,9
80945,46.0,germany,44
81045,,usa,13
81064,44.0,usa,14
81138,,canada,3
81153,27.0,united kingdom,4
81227,20.0,united kingdom,4
81368,28.0,usa,27
81399,24.0,usa,1
81492,28.0,usa,81
81609,57.0,usa,13
81639,32.0,usa,1
81771,37.0,usa,27
81848,35.0,usa,46
81854,22.0,usa,4
81855,42.0,united kingdom,16
81862,29.0,united kingdom,2
81950,23.0,austria,17
82192,,australia,6
82317,29.0,brazil,2
82398,69.0,usa,3
82426,28.0,portugal,1
82511,,italy,32
82831,21.0,usa,47
82877,27.0,usa,1
83156,59.0,usa,8
83407,15.0,usa,2
83561,41.0,usa,4
83579,,australia,1
83880,39.0,germany,8
84476,16.0,usa,10
84682,43.0,usa,3
84880,,usa,3
85043,,usa,35
85419,57.0,usa,1
