year_of_publication,category,isbn
1966.0,['Philosophy'],7
1966.0,['Short stories'],1
1966.0,['Travel'],1
1967.0,['Adultery'],1
1967.0,"['Ahab, Captain (Fictitious character)']",1
1967.0,['Amsterdam (Netherlands)'],1
1967.0,['Art'],1
1967.0,['Arthurian romances'],2
1967.0,['Bible'],1
1967.0,['Bilingual books'],1
1967.0,['Biography & Autobiography'],1
1967.0,['Bobbsey Twins (Fictitious characters)'],1
1967.0,['Chinese language'],1
1967.0,['Crafts & Hobbies'],2
1967.0,['Drama'],1
1967.0,['Families'],1
1967.0,['Fiction'],9
1967.0,['Gangs'],1
1967.0,['History'],3
1967.0,['Juvenile Fiction'],5
1967.0,['Juvenile Nonfiction'],1
1967.0,['Literary Collections'],3
1967.0,['Philosophy'],2
1967.0,['Poetry'],1
1967.0,['Psychology'],1
1967.0,['Reference'],1
1967.0,['Science'],2
1967.0,['Self-Help'],1
1967.0,['Social Science'],1
1967.0,['Technology & Engineering'],1
1967.0,['Travel'],1
1968.0,['Adventure stories'],1
1968.0,['American poetry'],1
1968.0,['Argentine literature'],2
1968.0,['Art'],2
1968.0,['Aunts'],1
1968.0,['Business & Economics'],1
1968.0,['Canadian literature'],1
1968.0,['Christmas'],1
1968.0,['Collaborative novels'],1
1968.0,['Cooking'],1
1968.0,['Domestic fiction'],1
1968.0,['Drama'],2
1968.0,['Fiction'],5
1968.0,['Heiresses'],2
1968.0,['History'],3
1968.0,['Horses'],1
1968.0,['House & Home'],2
1968.0,['Humor'],1
1968.0,['Hypothesis'],1
1968.0,['Juvenile Fiction'],51
1968.0,['Literary Criticism'],2
1968.0,['Mollusks'],1
1968.0,['Philosophy'],3
1968.0,['Poetry'],6
1968.0,['Religion'],1
1968.0,['Robots'],1
1968.0,['Study Aids'],1
1969.0,['Adultery'],7
1969.0,['American fiction'],1
1969.0,['Animal behavior'],1
1969.0,['Appaloosa horse'],1
1969.0,['Art'],1
1969.0,['Bildungsromans'],1
1969.0,['Biography & Autobiography'],5
1969.0,['Bonn (Germany)'],2
1969.0,['Braille'],3
1969.0,['Canada'],1
1969.0,['Children of physicians'],1
1969.0,['China'],1
1969.0,['Classic'],5
1969.0,['Communication'],2
1969.0,['Cooking'],1
1969.0,['Courts and courtiers in literature'],1
1969.0,['Design'],1
1969.0,['Drama'],3
1969.0,['England'],1
1969.0,['Fiction'],20
1969.0,['Foreign Language Study'],2
1969.0,['French poetry'],2
1969.0,['Frontier and pioneer life'],1
1969.0,['Games'],1
1969.0,['Health & Fitness'],2
1969.0,['History'],2
1969.0,['House & Home'],1
1969.0,['Juvenile Fiction'],40
1969.0,['Juvenile Nonfiction'],1
1969.0,['Literary Collections'],1
1969.0,['Literary Criticism'],1
1969.0,['Marijuana.'],1
1969.0,['Philosophy'],2
1969.0,['Political Science'],2
1969.0,['Social Science'],3
1970.0,['Adventure stories'],1
1970.0,"['Africa, West']",1
1970.0,['African Americans'],2
1970.0,['American drama'],9
1970.0,['American poetry'],2
1970.0,['Animals'],8
1970.0,['Art'],2
1970.0,['Artists'],1
1970.0,['Bible stories'],1
1970.0,['Biography & Autobiography'],5
1970.0,['Blind'],7
1970.0,"['Bovary, Charles (Fictitious character)']",7
1970.0,['Business & Economics'],1
1970.0,['Canadian fiction'],1
1970.0,['Chinese poetry'],1
1970.0,['Classic'],3
1970.0,['Colombian fiction'],17
1970.0,['Country life'],1
1970.0,['Crafts & Hobbies'],1
1970.0,['Culture'],2
1970.0,['Drama'],1
1970.0,['Egypt'],2
1970.0,['England'],23
1970.0,['Fantasy'],28
1970.0,['Fiction'],15
1970.0,['Games'],1
1970.0,['German fiction'],3
1970.0,['History'],3
1970.0,['Islam'],2
1970.0,['Juvenile Fiction'],18
1970.0,['Literary Collections'],3
1970.0,['Literary Criticism'],1
1970.0,['Man-woman relationships'],9
1970.0,['Music'],2
1970.0,['Negotiation'],1
1970.0,['Nonsense verses'],1
1970.0,['Philosophy'],2
1970.0,['Poetry'],1
1970.0,['Radicalism'],1
1970.0,['Reference'],1
1970.0,['Religion'],5
1970.0,['Schottland'],1
1970.0,['Social Science'],4
1971.0,"[""Children's literature""]",1
1971.0,"[""Children's parties""]",1
1971.0,"[""Children's poetry""]",1
1971.0,"[""Children's stories""]",1
1971.0,['Accountants'],1
1971.0,['African American authors'],3
1971.0,['African Americans'],1
1971.0,['American fiction'],2
1971.0,['Antiques & Collectibles'],1
1971.0,['Antisemitism'],2
1971.0,['Art'],2
1971.0,['Biography & Autobiography'],4
1971.0,['Biological Rhythms'],1
1971.0,['Birthday parties'],1
1971.0,"['Body, Mind & Spirit']",5
1971.0,['British'],1
1971.0,['Business & Economics'],1
1971.0,"['Christmas stories, English']",1
1971.0,['Detective and mystery stories'],1
1971.0,['Devotional literature'],1
1971.0,['English poetry'],2
1971.0,"['Epic poetry, Greek']",5
1971.0,"['Falstaff, John, Sir (Fictitious character)']",1
1971.0,['Fantasy.'],1
1971.0,['Farm life'],1
1971.0,['Fiction'],21
1971.0,['Foreign Language Study'],1
1971.0,['Friendship'],1
1971.0,['Games & Activities'],1
1971.0,['German language'],1
1971.0,['Germany'],1
1971.0,['Greece'],1
1971.0,"['Gulliver, Lemuel (Fictitious character)']",2
1971.0,['History'],6
1971.0,"['Humorous stories, Canadian']",1
1971.0,['Israel'],1
1971.0,['Juvenile Fiction'],68
1971.0,['Juvenile Nonfiction'],2
1971.0,"['Kent State Shootings, Kent, Ohio, 1970.']",1
1971.0,['Language Arts & Disciplines'],1
1971.0,['Literary Criticism'],1
1971.0,['Nature'],2
1971.0,['Overland journeys to the Pacific'],1
1971.0,['Poetry'],2
1971.0,['Political fiction'],1
1971.0,['Project Apollo'],1
1971.0,['Religion'],9
1971.0,['Repairing'],2
1971.0,['Social Science'],2
1972.0,"[""Children's stories""]",1
1972.0,"[""Children's stories, German""]",1
1972.0,['Adolescence'],1
1972.0,['Adopted children'],3
1972.0,['Adventure stories'],9
1972.0,['Africa'],1
1972.0,['American fiction'],3
1972.0,['American literature'],1
1972.0,['American poetry'],1
1972.0,['Art'],4
1972.0,['Audiocassettes for children'],1
1972.0,"['Authors, Danish']",2
1972.0,"['Authors, French']",1
1972.0,['Biography & Autobiography'],5
1972.0,"['Body, Mind & Spirit']",1
1972.0,['Books and reading'],1
1972.0,['Brothers and sisters'],1
1972.0,['Brothers'],1
1972.0,['Children'],1
1972.0,['Chilean poetry'],5
1972.0,['Christian life'],1
1972.0,['Conduct of life'],3
1972.0,['Cooking'],4
1972.0,['Crafts & Hobbies'],3
1972.0,['Death'],1
1972.0,['Desiderata'],1
1972.0,['Design'],1
1972.0,['Detective and mystery stories'],7
1972.0,['Domestic animals'],1
1972.0,['Domestic fiction'],1
1972.0,['Drama'],2
1972.0,['England'],1
1972.0,['English fiction'],3
1972.0,['English literature'],1
1972.0,['Evolution'],1
1972.0,['Family'],1
1972.0,['Fantasy'],1
1972.0,['Fiction'],28
1972.0,['Games'],1
1972.0,['Gardening'],1
1972.0,['German fiction'],1
1972.0,['Hallucinogenic drugs'],1
1972.0,['Health & Fitness'],1
1972.0,['History'],2
1972.0,['Iceland'],1
1972.0,['Journalism'],1
1972.0,['Juvenile Fiction'],31
1972.0,['Language Arts & Disciplines'],2
1972.0,['Literary Collections'],7
1972.0,['Literary Criticism'],6
1972.0,['Mexico'],1
1972.0,['Music'],1
1972.0,['Nasreddin Hoca (Legendary character)'],1
1972.0,['New York (N.Y.)'],1
1972.0,['Poetry'],1
1972.0,"['Psychological fiction, American.']",1
1972.0,['Psychology'],1
1972.0,['Religion'],10
1972.0,['Self'],4
1972.0,['Social Science'],2
1972.0,['Spanish language'],1
1972.0,['Sun'],1
1973.0,"[""Children's plays""]",1
1973.0,"[""Children's stories""]",2
1973.0,['Adolescence'],1
1973.0,"['Aldrin, Buzz']",1
1973.0,['American drama'],1
1973.0,['American fiction'],3
1973.0,['American literature'],2
1973.0,['American poetry'],2
1973.0,['Animal behavior'],1
1973.0,['Antiques & Collectibles'],1
1973.0,['Art'],2
1973.0,['Arthurian romances'],2
1973.0,['Australia'],1
1973.0,"['Authors, French']",1
1973.0,['Bavaria (Germany)'],1
1973.0,['Bible'],2
1973.0,['Biography & Autobiography'],6
1973.0,['Birds'],3
1973.0,"['Body, Mind & Spirit']",3
1973.0,['Boys'],2
1973.0,['British'],1
1973.0,['Buildings in art'],2
1973.0,['Butterflies'],1
1973.0,['Canadian fiction'],3
1973.0,['Caribbean fiction (Dutch)'],1
1973.0,"['Carter, John (Fictitious character)']",1
1973.0,['Cataloging of nonbook materials'],1
1973.0,['Christmas stories'],1
1973.0,"['Civilization, Medieval']",2
1973.0,['Cooking'],3
1973.0,['Cornwall (England : County)'],1
1973.0,['Crafts & Hobbies'],2
1973.0,['Death'],1
1973.0,['Dolphins'],1
1973.0,['Drama'],1
1973.0,['Fables'],1
1973.0,['Falcons'],1
1973.0,['Fiction'],32
1973.0,['French fiction'],1
1973.0,['German fiction'],3
1973.0,['Germany'],1
1973.0,['Great Britain'],1
1973.0,['Hasidim'],1
1973.0,['Health & Fitness'],2
1973.0,['Herbalists'],1
1973.0,['History'],3
1973.0,['House & Home'],1
1973.0,"['Humorous stories, American']",1
1973.0,['Indians of North America'],1
1973.0,['Japanese fiction'],1
1973.0,['Juvenile Fiction'],39
1973.0,['Juvenile Nonfiction'],4
1973.0,['Literary Collections'],2
1973.0,['Literature and science'],1
1973.0,['Medical'],1
1973.0,['Mineralogy'],1
1973.0,['Motion pictures'],1
1973.0,['Music'],1
1973.0,['Nature'],1
1973.0,['Northern Ireland'],1
1973.0,['Open plan schools'],1
1973.0,['Performing Arts'],1
1973.0,['Philosophy'],17
1973.0,['Poetry'],1
1973.0,['Police'],1
1973.0,['Political Science'],1
1973.0,['Presidents'],1
1973.0,['Prisoners of war'],1
1973.0,['Psychology'],1
1973.0,['Puppets and puppet-plays'],3
1973.0,['Religion'],11
1973.0,['Science fiction'],1
1973.0,['Science'],3
1973.0,['Self-Help'],1
1973.0,['Social Science'],1
1973.0,['Sunday schools'],3
1973.0,['Technology & Engineering'],1
1974.0,"[""Children's stories""]",1
1974.0,['Adventure stories'],1
1974.0,['African American fiction'],7
1974.0,['African Americans'],1
1974.0,['Air pilots'],1
1974.0,"['Alleyn, Roderick (Fictitious character)']",1
1974.0,['Alman romanı'],1
1974.0,['American literature'],2
1974.0,['Androids'],1
1974.0,['Animals'],1
1974.0,"['Animals, Fossil']",1
1974.0,['Animated films'],1
1974.0,['Apprentices'],1
1974.0,['Arkansas'],1
1974.0,['Art'],1
1974.0,['Astronautics'],1
1974.0,"['Authors, American']",1
1974.0,['Bigamy'],2
1974.0,['Biography & Autobiography'],6
1974.0,"['Body, Mind & Spirit']",4
1974.0,['Bread'],1
1974.0,"['Brown, Encyclopedia (Fictitious character)']",1
1974.0,['Bullying in schools'],3
1974.0,['Business & Economics'],1
1974.0,['Canadian fiction'],4
1974.0,['Caricatures and cartoons'],1
1974.0,['Cats'],2
1974.0,['Child rearing'],1
1974.0,['Christian biography'],1
1974.0,['Christmas'],1
1974.0,['Church work with drug addicts'],1
1974.0,['Civilization'],1
1974.0,['Communication'],1
1974.0,['Concentration camps'],7
1974.0,['Cooking'],2
1974.0,['Crime'],1
1974.0,['Crow Indians'],1
1974.0,['Detective and mystery stories'],1
1974.0,['Don Juan (Legendary character)'],3
1974.0,['Drama'],2
1974.0,['Emotions'],1
1974.0,['Etruria'],1
1974.0,['Families'],1
1974.0,['Fiction'],26
1974.0,['Florida'],1
1974.0,['Foreign Language Study'],1
1974.0,['French language'],1
1974.0,['Friendship'],1
1974.0,['Greek drama'],1
1974.0,['Health & Fitness'],2
1974.0,['Historical fiction'],1
1974.0,['History'],4
1974.0,['Icarian Community'],1
1974.0,['Juvenile Fiction'],130
1974.0,['Juvenile Nonfiction'],25
1974.0,['Language Arts & Disciplines'],1
1974.0,['Literary Criticism'],3
1974.0,['Motion picture producers and directors'],1
1974.0,['Music'],1
1974.0,['Nature'],2
1974.0,['Occultism'],1
1974.0,['Paranormal fiction'],1
1974.0,['Pets'],1
1974.0,['Philosophy'],2
1974.0,['Picture dictionaries'],1
1974.0,['Poetry'],4
1974.0,['Police administration'],1
1974.0,['Psychology'],5
1974.0,['Reincarnation'],1
1974.0,['Religion'],7
1974.0,['Science fiction'],1
1974.0,['Science'],3
1974.0,['Self-Help'],1
1974.0,['Sharing'],2
1974.0,['Social Science'],2
1974.0,['Sports & Recreation'],1
1974.0,['Stress (Psychology).'],1
1974.0,['Technology & Engineering'],4
1974.0,['Travel'],1
1974.0,['United States'],1
1974.0,['Women'],1
1974.0,"['World War, 1914-1918']",2
1975.0,"[""Children's questions and answers""]",1
1975.0,['87th Precinct (Imaginary place)'],1
1975.0,['ANIMAUX SAUVAGES.'],1
1975.0,['Accelerated readers'],3
1975.0,['Acupressure'],1
1975.0,['Adventure stories'],1
1975.0,['African American children'],1
1975.0,['Aging'],2
1975.0,['Airplanes'],1
1975.0,['American drama'],1
1975.0,['American fiction'],1
1975.0,['American literature'],1
1975.0,['American poetry'],1
1975.0,['Amish'],1
1975.0,['Amphibians'],1
1975.0,['Apartment houses'],2
1975.0,['Apparitions'],8
1975.0,"['Architecture, Domestic']",1
1975.0,['Arranged marriage'],1
1975.0,['Art'],1
1975.0,['Asterix (Fictitious character)'],1
1975.0,['Audiobooks'],2
1975.0,"['Authors, American']",1
1975.0,"['Authors, English']",1
1975.0,['Authorship'],1
1975.0,['Bars (Drinking establishments)'],1
1975.0,['Beat generation'],1
1975.0,['Beowulf'],1
1975.0,['Biography & Autobiography'],13
1975.0,['Birds'],1
1975.0,"['Body, Mind & Spirit']",1
1975.0,['British'],1
1975.0,"['Brooklyn (New York, N.Y.)']",1
1975.0,['Brothers'],2
1975.0,['Business & Economics'],1
1975.0,['Cats'],2
1975.0,['Chess'],1
1975.0,['Child psychology'],1
1975.0,['Childbirth'],1
1975.0,['College readers'],1
1975.0,['Common fallacies'],1
1975.0,['Community life'],1
1975.0,['Conduct of life'],3
1975.0,['Confession'],1
1975.0,['Construction workers'],1
1975.0,['Continental Op (Fictitious character)'],2
1975.0,['Cooking'],2
1975.0,['Country homes'],2
1975.0,['Crafts & Hobbies'],1
1975.0,['Crocheting'],1
1975.0,['Death'],2
1975.0,['Deviant behavior'],1
1975.0,['Dialectical materialism'],1
1975.0,['Dick Deadeye or Duty Done. [Motion picture]'],1
1975.0,['Drama'],4
1975.0,['Drawing'],2
1975.0,['Dune (Imaginary place)'],1
1975.0,['Earthworms'],1
1975.0,['Ecology'],1
1975.0,['English language'],2
1975.0,['Epidemics'],1
1975.0,['Essentialism (Philosophy)'],3
1975.0,"['Fables, American']",1
1975.0,['Family & Relationships'],3
1975.0,['Ferns'],1
1975.0,['Fiction'],39
1975.0,['Folklore'],1
1975.0,['France'],2
1975.0,['Gardening'],1
1975.0,['Gestalt therapy'],1
1975.0,['Gone with the wind (Motion picture : 1939)'],1
1975.0,['Gypsies'],1
1975.0,['Hemophilia'],1
1975.0,['Historical fiction'],1
1975.0,['Historical materialism'],1
1975.0,['History'],4
1975.0,['Hittites'],1
1975.0,['Juvenile Fiction'],21
1975.0,['Juvenile Nonfiction'],4
1975.0,['Language and languages.'],1
1975.0,['Literary Collections'],3
1975.0,['Literary Criticism'],1
1975.0,['Lobsters'],1
1975.0,"['Maigret, Jules (Fictitious character)']",1
1975.0,['Meditation'],1
1975.0,['Mountaineering'],1
1975.0,['Naturalists'],1
1975.0,['Nature'],1
1975.0,['Northern Ireland'],1
1975.0,['Organic gardening'],1
1975.0,['Pets'],2
1975.0,['Poetry'],2
1975.0,['Prayer'],1
1975.0,['Prophecies.'],1
1975.0,['Psychology'],5
1975.0,['Religion'],10
1975.0,['Science fiction'],2
1975.0,['Science'],4
1975.0,['Self-Help'],4
1975.0,['Soccer'],1
1975.0,['Social Science'],4
1975.0,['Sports & Recreation'],2
1975.0,['Statesmen'],1
1975.0,['Submarines (Ships)'],1
1975.0,['Travel'],20
1975.0,['Women'],1
1975.0,"['World War, 1939-1945']",1
1976.0,"[""Children's stories""]",2
1976.0,"[""Presidents' spouses""]",1
1976.0,['11030 - fiction in English - 1900-1945 - 60030 - texts'],1
1976.0,"['Accidental deaths, suicides, and homicides']",1
1976.0,['Actors'],1
1976.0,['Adolescence'],4
1976.0,['Adventure and adventurers'],1
1976.0,['Adventure stories'],4
1976.0,"['Adventure stories, English']",1
1976.0,['Aggada'],1
1976.0,['Alien abduction'],2
1976.0,['American fiction'],1
1976.0,['American literature'],2
1976.0,"['Angstrom, Harry (Fictitious character)']",2
1976.0,['Animals'],3
1976.0,['Architecture'],1
1976.0,['Arrakis (Imaginary place)'],2
1976.0,['Art'],4
1976.0,['Arthurian romances'],1
1976.0,['Asterix (Fictitious character)'],4
1976.0,['Astrology'],1
1976.0,['Astronomy'],1
1976.0,['Astérix (Fictitious character)'],2
1976.0,['Audiocassettes'],2
1976.0,"['Authors, German']",1
1976.0,"['Baggins, Bilbo (Fictitious character)']",2
1976.0,['Baroda (City)'],1
1976.0,['Biography & Autobiography'],10
1976.0,['Biography'],1
1976.0,['Blind'],4
1976.0,"['Body, Mind & Spirit']",13
1976.0,['Business & Economics'],1
1976.0,['California'],25
1976.0,['Canadian fiction'],3
1976.0,['Cape Cod (Mass.)'],12
1976.0,['Cherokee Indians'],1
1976.0,['Child psychotherapy'],1
1976.0,['Child rearing'],1
1976.0,['Child rearing.'],1
1976.0,['Children'],1
1976.0,['City and town life'],4
1976.0,['Coal miners'],1
1976.0,['Comics & Graphic Novels'],3
1976.0,['Common fallacies'],2
1976.0,['Companion crops'],1
1976.0,['Consciousness'],1
1976.0,['Coronary heart disease'],2
1976.0,['Country life'],2
1976.0,['Crafts & Hobbies'],2
1976.0,['Cults'],1
1976.0,['Detective and mystery stories'],1
1976.0,"['Detective and mystery stories, English']",1
1976.0,['Dinosauria'],1
1976.0,['Dogs'],2
1976.0,['Dragons'],1
1976.0,['Drama'],6
1976.0,"['Dramatists, American']",1
1976.0,['Dune (Imaginary place)'],1
1976.0,['Ecology'],1
1976.0,['Electric engineering'],1
1976.0,['Emperors'],3
1976.0,['English fiction'],2
1976.0,['English language'],1
1976.0,['Europe'],1
1976.0,['FICTION'],8
1976.0,['Family & Relationships'],1
1976.0,['Fantasy fiction'],4
1976.0,['Fiction in English'],11
1976.0,['Fiction'],163
1976.0,['Flagstaff (Ariz.)'],1
1976.0,['Friendship'],2
1976.0,['Frontier and pioneer life'],1
1976.0,['Games'],1
1976.0,['Germany'],1
1976.0,['Hallucinogenic drugs and religious experience'],2
1976.0,['Health & Fitness'],5
1976.0,['High school graduates'],1
1976.0,['History'],10
1976.0,['Hitchhiking'],4
1976.0,['Immortality'],1
1976.0,['Jewelry'],1
