year_of_publication,category,rating
1971.0,['Juvenile Nonfiction'],8.5
1971.0,"['Kent State Shootings, Kent, Ohio, 1970.']",4.0
1971.0,['Language Arts & Disciplines'],10.0
1971.0,['Literary Criticism'],4.0
1971.0,['Nature'],9.0
1971.0,['Overland journeys to the Pacific'],2.0
1971.0,['Poetry'],9.0
1971.0,['Political fiction'],8.0
1971.0,['Project Apollo'],8.0
1971.0,['Religion'],7.444444444444445
1971.0,['Repairing'],8.0
1971.0,['Social Science'],8.5
1972.0,"[""Children's stories""]",8.0
1972.0,"[""Children's stories, German""]",10.0
1972.0,['Adolescence'],7.0
1972.0,['Adopted children'],9.0
1972.0,['Adventure stories'],7.222222222222222
1972.0,['Africa'],7.0
1972.0,['American fiction'],8.0
1972.0,['American literature'],4.0
1972.0,['American poetry'],10.0
1972.0,['Art'],7.0
1972.0,['Audiocassettes for children'],9.0
1972.0,"['Authors, Danish']",9.0
1972.0,"['Authors, French']",1.0
1972.0,['Biography & Autobiography'],7.2
1972.0,"['Body, Mind & Spirit']",8.0
1972.0,['Books and reading'],9.0
1972.0,['Brothers and sisters'],9.0
1972.0,['Brothers'],10.0
1972.0,['Children'],8.0
1972.0,['Chilean poetry'],7.0
1972.0,['Christian life'],8.0
1972.0,['Conduct of life'],8.0
1972.0,['Cooking'],8.5
1972.0,['Crafts & Hobbies'],6.666666666666667
1972.0,['Death'],9.0
1972.0,['Desiderata'],8.0
1972.0,['Design'],6.0
1972.0,['Detective and mystery stories'],5.857142857142857
1972.0,['Domestic animals'],7.0
1972.0,['Domestic fiction'],7.0
1972.0,['Drama'],7.5
1972.0,['England'],6.0
1972.0,['English fiction'],6.666666666666667
1972.0,['English literature'],8.0
1972.0,['Evolution'],2.0
1972.0,['Family'],7.0
1972.0,['Fantasy'],10.0
1972.0,['Fiction'],7.642857142857143
1972.0,['Games'],10.0
1972.0,['Gardening'],7.0
1972.0,['German fiction'],8.0
1972.0,['Hallucinogenic drugs'],7.0
1972.0,['Health & Fitness'],8.0
1972.0,['History'],7.5
1972.0,['Iceland'],8.0
1972.0,['Journalism'],3.0
1972.0,['Juvenile Fiction'],7.612903225806452
1972.0,['Language Arts & Disciplines'],4.0
1972.0,['Literary Collections'],7.428571428571429
1972.0,['Literary Criticism'],6.833333333333333
1972.0,['Mexico'],2.0
1972.0,['Music'],7.0
1972.0,['Nasreddin Hoca (Legendary character)'],10.0
1972.0,['New York (N.Y.)'],6.0
1972.0,['Poetry'],7.0
1972.0,"['Psychological fiction, American.']",4.0
1972.0,['Psychology'],4.0
1972.0,['Religion'],7.2
1972.0,['Self'],9.25
1972.0,['Social Science'],7.0
1972.0,['Spanish language'],8.0
1972.0,['Sun'],2.0
1973.0,"[""Children's plays""]",1.0
1973.0,"[""Children's stories""]",9.5
1973.0,['Adolescence'],5.0
1973.0,"['Aldrin, Buzz']",8.0
1973.0,['American drama'],2.0
1973.0,['American fiction'],6.666666666666667
1973.0,['American literature'],4.5
1973.0,['American poetry'],9.0
1973.0,['Animal behavior'],8.0
1973.0,['Antiques & Collectibles'],6.0
1973.0,['Art'],9.5
1973.0,['Arthurian romances'],7.0
1973.0,['Australia'],6.0
1973.0,"['Authors, French']",8.0
1973.0,['Bavaria (Germany)'],7.0
1973.0,['Bible'],9.0
1973.0,['Biography & Autobiography'],7.666666666666667
1973.0,['Birds'],9.666666666666666
1973.0,"['Body, Mind & Spirit']",6.333333333333333
1973.0,['Boys'],6.0
1973.0,['British'],1.0
1973.0,['Buildings in art'],6.5
1973.0,['Butterflies'],9.0
1973.0,['Canadian fiction'],6.333333333333333
1973.0,['Caribbean fiction (Dutch)'],6.0
1973.0,"['Carter, John (Fictitious character)']",10.0
1973.0,['Cataloging of nonbook materials'],7.0
1973.0,['Christmas stories'],10.0
1973.0,"['Civilization, Medieval']",7.0
1973.0,['Cooking'],8.666666666666666
1973.0,['Cornwall (England : County)'],10.0
1973.0,['Crafts & Hobbies'],8.5
1973.0,['Death'],7.0
1973.0,['Dolphins'],4.0
1973.0,['Drama'],4.0
1973.0,['Fables'],8.0
1973.0,['Falcons'],2.0
1973.0,['Fiction'],6.75
1973.0,['French fiction'],9.0
1973.0,['German fiction'],9.333333333333334
1973.0,['Germany'],2.0
1973.0,['Great Britain'],8.0
1973.0,['Hasidim'],8.0
1973.0,['Health & Fitness'],10.0
1973.0,['Herbalists'],7.0
1973.0,['History'],6.333333333333333
1973.0,['House & Home'],10.0
1973.0,"['Humorous stories, American']",9.0
1973.0,['Indians of North America'],9.0
1973.0,['Japanese fiction'],5.0
1973.0,['Juvenile Fiction'],7.615384615384615
1973.0,['Juvenile Nonfiction'],6.25
1973.0,['Literary Collections'],5.0
1973.0,['Literature and science'],7.0
1973.0,['Medical'],2.0
1973.0,['Mineralogy'],8.0
1973.0,['Motion pictures'],7.0
1973.0,['Music'],6.0
1973.0,['Nature'],9.0
1973.0,['Northern Ireland'],6.0
1973.0,['Open plan schools'],9.0
1973.0,['Performing Arts'],8.0
1973.0,['Philosophy'],8.823529411764707
1973.0,['Poetry'],7.0
1973.0,['Police'],7.0
1973.0,['Political Science'],4.0
1973.0,['Presidents'],8.0
1973.0,['Prisoners of war'],7.0
1973.0,['Psychology'],7.0
1973.0,['Puppets and puppet-plays'],7.0
1973.0,['Religion'],7.545454545454546
1973.0,['Science fiction'],10.0
1973.0,['Science'],5.666666666666667
1973.0,['Self-Help'],8.0
1973.0,['Social Science'],7.0
1973.0,['Sunday schools'],8.0
1973.0,['Technology & Engineering'],7.0
1974.0,"[""Children's stories""]",4.0
1974.0,['Adventure stories'],4.0
1974.0,['African American fiction'],8.142857142857142
1974.0,['African Americans'],3.0
1974.0,['Air pilots'],10.0
1974.0,"['Alleyn, Roderick (Fictitious character)']",7.0
1974.0,['Alman romanı'],6.0
1974.0,['American literature'],8.0
1974.0,['Androids'],8.0
1974.0,['Animals'],7.0
1974.0,"['Animals, Fossil']",9.0
1974.0,['Animated films'],2.0
1974.0,['Apprentices'],10.0
1974.0,['Arkansas'],8.0
1974.0,['Art'],9.0
1974.0,['Astronautics'],10.0
1974.0,"['Authors, American']",2.0
1974.0,['Bigamy'],10.0
1974.0,['Biography & Autobiography'],7.666666666666667
1974.0,"['Body, Mind & Spirit']",6.75
1974.0,['Bread'],7.0
1974.0,"['Brown, Encyclopedia (Fictitious character)']",7.0
1974.0,['Bullying in schools'],9.0
1974.0,['Business & Economics'],6.0
1974.0,['Canadian fiction'],7.5
1974.0,['Caricatures and cartoons'],1.0
1974.0,['Cats'],10.0
1974.0,['Child rearing'],3.0
1974.0,['Christian biography'],10.0
1974.0,['Christmas'],5.0
1974.0,['Church work with drug addicts'],7.0
1974.0,['Civilization'],9.0
1974.0,['Communication'],2.0
1974.0,['Concentration camps'],8.0
1974.0,['Cooking'],7.0
1974.0,['Crime'],7.0
1974.0,['Crow Indians'],8.0
1974.0,['Detective and mystery stories'],10.0
1974.0,['Don Juan (Legendary character)'],4.666666666666667
1974.0,['Drama'],8.0
1974.0,['Emotions'],9.0
1974.0,['Etruria'],8.0
1974.0,['Families'],3.0
1974.0,['Fiction'],7.576923076923077
1974.0,['Florida'],9.0
1974.0,['Foreign Language Study'],2.0
1974.0,['French language'],8.0
1974.0,['Friendship'],8.0
1974.0,['Greek drama'],8.0
1974.0,['Health & Fitness'],7.5
1974.0,['Historical fiction'],2.0
1974.0,['History'],7.25
1974.0,['Icarian Community'],2.0
1974.0,['Juvenile Fiction'],8.23076923076923
1974.0,['Juvenile Nonfiction'],8.96
1974.0,['Language Arts & Disciplines'],10.0
1974.0,['Literary Criticism'],6.666666666666667
1974.0,['Motion picture producers and directors'],6.0
1974.0,['Music'],10.0
1974.0,['Nature'],9.5
1974.0,['Occultism'],10.0
1974.0,['Paranormal fiction'],2.0
1974.0,['Pets'],4.0
1974.0,['Philosophy'],10.0
1974.0,['Picture dictionaries'],10.0
1974.0,['Poetry'],7.5
1974.0,['Police administration'],10.0
1974.0,['Psychology'],7.4
1974.0,['Reincarnation'],5.0
1974.0,['Religion'],8.0
1974.0,['Science fiction'],6.0
1974.0,['Science'],5.333333333333333
1974.0,['Self-Help'],10.0
1974.0,['Sharing'],9.0
1974.0,['Social Science'],5.5
1974.0,['Sports & Recreation'],5.0
1974.0,['Stress (Psychology).'],9.0
1974.0,['Technology & Engineering'],8.75
1974.0,['Travel'],9.0
1974.0,['United States'],6.0
1974.0,['Women'],8.0
1974.0,"['World War, 1914-1918']",7.5
1975.0,"[""Children's questions and answers""]",8.0
1975.0,['87th Precinct (Imaginary place)'],9.0
1975.0,['ANIMAUX SAUVAGES.'],8.0
1975.0,['Accelerated readers'],9.0
1975.0,['Acupressure'],9.0
1975.0,['Adventure stories'],7.0
1975.0,['African American children'],2.0
1975.0,['Aging'],8.0
1975.0,['Airplanes'],8.0
1975.0,['American drama'],4.0
1975.0,['American fiction'],8.0
1975.0,['American literature'],10.0
1975.0,['American poetry'],8.0
1975.0,['Amish'],9.0
1975.0,['Amphibians'],7.0
1975.0,['Apartment houses'],9.5
1975.0,['Apparitions'],8.25
1975.0,"['Architecture, Domestic']",10.0
1975.0,['Arranged marriage'],2.0
1975.0,['Art'],10.0
1975.0,['Asterix (Fictitious character)'],8.0
1975.0,['Audiobooks'],5.0
1975.0,"['Authors, American']",10.0
1975.0,"['Authors, English']",4.0
1975.0,['Authorship'],3.0
1975.0,['Bars (Drinking establishments)'],6.0
1975.0,['Beat generation'],10.0
1975.0,['Beowulf'],9.0
1975.0,['Biography & Autobiography'],6.769230769230769
1975.0,['Birds'],7.0
1975.0,"['Body, Mind & Spirit']",10.0
1975.0,['British'],8.0
1975.0,"['Brooklyn (New York, N.Y.)']",9.0
1975.0,['Brothers'],8.0
1975.0,['Business & Economics'],8.0
1975.0,['Cats'],5.0
1975.0,['Chess'],8.0
1975.0,['Child psychology'],3.0
1975.0,['Childbirth'],7.0
1975.0,['College readers'],9.0
1975.0,['Common fallacies'],6.0
1975.0,['Community life'],1.0
1975.0,['Conduct of life'],9.666666666666666
1975.0,['Confession'],8.0
1975.0,['Construction workers'],2.0
1975.0,['Continental Op (Fictitious character)'],8.5
1975.0,['Cooking'],8.0
1975.0,['Country homes'],6.5
1975.0,['Crafts & Hobbies'],4.0
1975.0,['Crocheting'],7.0
1975.0,['Death'],4.0
1975.0,['Deviant behavior'],1.0
1975.0,['Dialectical materialism'],10.0
1975.0,['Dick Deadeye or Duty Done. [Motion picture]'],7.0
1975.0,['Drama'],7.75
1975.0,['Drawing'],7.0
1975.0,['Dune (Imaginary place)'],9.0
1975.0,['Earthworms'],4.0
1975.0,['Ecology'],1.0
1975.0,['English language'],7.0
1975.0,['Epidemics'],9.0
1975.0,['Essentialism (Philosophy)'],8.0
1975.0,"['Fables, American']",10.0
1975.0,['Family & Relationships'],7.333333333333333
1975.0,['Ferns'],8.0
1975.0,['Fiction'],7.17948717948718
1975.0,['Folklore'],4.0
1975.0,['France'],2.5
1975.0,['Gardening'],7.0
1975.0,['Gestalt therapy'],8.0
1975.0,['Gone with the wind (Motion picture : 1939)'],2.0
1975.0,['Gypsies'],6.0
1975.0,['Hemophilia'],6.0
